Site,Animal,Population,ld14,brd14,lv14
Dabob,134,N,0,0,0
Dabob,135,N,0,0,0
Dabob,136,N,0,0,0
Dabob,137,N,0,0,0
Dabob,138,N,0,0,0
Dabob,139,N,0,0,0
Dabob,140,N,0,0,0
Dabob,141,N,0,0,0
Dabob,142,N,0,0,0
Dabob,143,N,0,0,0
Dabob,144,N,0,0,0
Dabob,145,N,0,0,0
Dabob,146,N,0,0,0
Dabob,147,N,0,0,0
Dabob,148,N,0,0,0
Dabob,149,N,0,0,0
Dabob,150,N,0,0,0
Dabob,151,N,0,0,0
Dabob,152,N,0,0,0
Dabob,153,N,0,0,0
Dabob,154,N,0,0,0
Dabob,155,N,0,0,0
Dabob,156,N,0,0,0
Dabob,157,N,0,0,0
Dabob,158,N,0,0,0
Dabob,159,N,0,0,0
Dabob,160,N,0,0,0
Dabob,161,N,0,0,0
Dabob,162,N,0,0,0
Dabob,163,N,0,0,0
Dabob,164,N,0,0,0
Dabob,165,N,0,0,0
Dabob,166,N,0,0,0
Dabob,167,N,0,0,0
Dabob,168,N,0,0,0
Dabob,169,N,0,0,0
Dabob,170,N,0,0,0
Dabob,171,N,0,0,0
Dabob,172,N,0,0,0
Dabob,173,N,0,0,0
Dabob,174,N,0,0,0
Dabob,175,N,0,0,0
Dabob,176,N,0,0,0
Dabob,177,N,0,0,0
Dabob,178,N,0,0,0
Dabob,179,N,0,0,0
Dabob,180,N,0,0,0
Dabob,181,N,0,0,0
Dabob,182,N,0,0,0
Dabob,183,N,0,0,0
Dabob,184,N,0,0,0
Dabob,185,N,0,0,0
Dabob,186,N,0,0,0
Dabob,187,N,0,0,0
Dabob,188,N,0,0,0
Dabob,189,N,0,0,0
Dabob,190,N,0,0,0
Dabob,191,N,0,0,0
Dabob,192,N,0,0,0
Dabob,193,N,0,0,0
Dabob,194,N,0,0,0
Dabob,195,N,0,0,0
Dabob,196,N,0,0,0
Dabob,197,N,0,0,0
Dabob,198,N,0,0,0
Dabob,199,N,0,0,0
Dabob,200,N,0,0,0
Dabob,201,N,0,0,0
Dabob,202,N,0,0,0
Dabob,203,N,0,0,0
Dabob,204,N,0,0,0
Dabob,205,N,0,0,0
Dabob,206,N,0,0,0
Dabob,207,N,0,0,0
Dabob,208,N,0,0,0
Dabob,209,N,0,0,0
Dabob,210,N,0,0,0
Dabob,211,N,0,0,0
Dabob,212,N,0,0,0
Dabob,213,N,0,0,0
Dabob,214,N,0,0,0
Dabob,215,N,0,0,0
Dabob,216,N,0,0,0
Dabob,217,N,0,0,0
Dabob,218,N,0,0,0
Dabob,219,N,0,0,0
Dabob,220,N,0,0,0
Dabob,221,N,0,0,0
Dabob,222,N,0,0,0
Dabob,223,N,0,0,0
Dabob,224,N,0,0,0
Dabob,225,N,0,0,0
Dabob,226,N,0,0,0
Dabob,227,N,0,0,0
Dabob,228,N,0,0,0
Dabob,229,N,0,0,0
Dabob,230,N,0,0,0
Dabob,231,N,0,0,0
Dabob,232,N,0,0,0
Dabob,233,N,0,0,0
Dabob,234,N,0,0,0
Dabob,235,N,0,0,0
Dabob,236,N,0,0,0
Dabob,237,N,0,0,0
Dabob,238,N,0,0,0
Dabob,239,N,0,0,0
Dabob,240,N,0,0,0
Dabob,241,N,0,0,0
Dabob,242,N,0,0,0
Dabob,243,N,0,0,0
Dabob,244,N,0,0,0
Dabob,245,N,0,0,0
Dabob,246,N,0,0,0
Dabob,247,N,0,0,0
Dabob,248,N,0,0,0
Dabob,249,N,0,0,0
Dabob,250,N,0,0,0
Dabob,251,N,0,0,0
Dabob,252,N,0,0,0
Dabob,253,N,0,0,0
Dabob,254,N,0,0,0
Dabob,255,N,0,0,0
Dabob,256,N,0,0,0
Dabob,257,N,0,0,0
Dabob,258,N,0,0,0
Dabob,259,N,0,0,0
Dabob,260,N,0,0,0
Dabob,261,N,0,0,0
Dabob,262,N,0,0,0
Dabob,263,N,0,0,0
Dabob,264,N,0,0,0
Dabob,265,N,0,0,0
Dabob,266,N,0,0,0
Dabob,267,N,0,0,0
Dabob,268,N,0,0,0
Dabob,269,N,0,0,0
Dabob,270,N,0,0,0
Dabob,271,N,0,0,0
Dabob,272,N,0,0,0
Dabob,273,N,0,0,0
Dabob,274,N,0,0,0
Dabob,275,N,0,0,0
Dabob,276,N,0,0,0
Dabob,277,N,0,0,0
Dabob,278,N,0,0,0
Dabob,279,N,0,0,0
Dabob,280,N,0,0,0
Dabob,281,N,0,0,0
Dabob,282,N,0,0,0
Dabob,283,N,0,0,0
Dabob,284,N,0,0,0
Dabob,285,N,0,0,0
Dabob,286,N,0,0,0
Dabob,287,N,0,0,0
Dabob,288,N,0,0,0
Dabob,289,N,0,0,0
Dabob,290,N,0,0,0
Dabob,291,N,0,0,0
Dabob,292,N,0,0,0
Dabob,293,N,0,0,0
Dabob,294,N,0,0,0
Dabob,295,N,0,0,0
Dabob,296,N,0,0,0
Dabob,297,N,0,0,0
Dabob,298,N,0,0,0
Dabob,299,N,0,0,0
Dabob,300,N,0,0,0
Dabob,301,N,0,0,0
Dabob,302,N,0,0,0
Dabob,303,N,0,0,0
Dabob,304,N,0,0,0
Dabob,305,N,0,0,0
Dabob,306,N,0,0,0
Dabob,307,N,0,0,0
Dabob,308,N,0,0,0
Dabob,309,N,0,0,0
Dabob,310,N,0,0,0
Dabob,311,N,0,0,0
Dabob,312,N,0,0,0
Dabob,313,N,0,0,0
Dabob,314,N,0,0,0
Dabob,315,N,0,0,0
Dabob,316,N,0,0,0
Dabob,317,N,0,0,0
Dabob,318,N,0,0,0
Dabob,319,N,0,0,0
Dabob,320,N,0,0,0
Dabob,321,N,0,0,0
Dabob,322,N,0,0,0
Dabob,323,N,0,0,0
Dabob,324,N,0,0,0
Dabob,325,N,0,0,0
Dabob,326,N,0,0,0
Dabob,327,N,0,0,0
Dabob,328,N,0,0,0
Dabob,329,N,0,0,0
Dabob,330,N,0,0,0
Dabob,331,N,0,0,0
Dabob,332,N,0,0,0
Dabob,333,N,0,0,0
Dabob,334,N,0,0,0
Dabob,335,N,0,0,0
Dabob,336,N,0,0,0
Dabob,337,N,0,0,0
Dabob,338,N,0,0,0
Dabob,339,N,0,0,0
Dabob,340,N,0,0,0
Dabob,341,N,0,0,0
Dabob,342,N,0,0,0
Dabob,343,N,0,0,0
Dabob,344,N,0,0,0
Dabob,345,N,0,0,0
Dabob,346,N,0,0,0
Dabob,347,N,0,0,0
Dabob,348,N,0,0,0
Dabob,349,N,0,0,0
Dabob,350,N,0,0,0
Dabob,351,N,0,0,0
Dabob,352,N,0,0,0
Dabob,353,N,0,0,0
Dabob,354,N,0,0,0
Dabob,355,N,0,0,0
Dabob,356,N,0,0,0
Dabob,357,N,0,0,0
Dabob,358,N,0,0,0
Dabob,359,N,0,0,0
Dabob,360,N,0,0,0
Dabob,361,N,0,0,0
Dabob,362,N,0,0,0
Dabob,363,N,0,0,0
Dabob,364,N,0,0,0
Dabob,365,N,0,0,0
Dabob,366,N,0,0,0
Dabob,367,N,0,0,0
Dabob,368,N,0,0,0
Dabob,369,N,0,0,0
Dabob,370,N,0,0,0
Dabob,371,N,0,0,0
Dabob,372,N,0,0,0
Dabob,373,N,0,0,0
Dabob,374,N,0,0,0
Dabob,375,N,0,0,0
Dabob,376,N,0,0,0
Dabob,377,N,0,0,0
Dabob,378,N,0,0,0
Dabob,379,N,0,0,0
Dabob,380,N,0,0,0
Dabob,381,N,0,0,0
Dabob,382,N,0,0,0
Dabob,383,N,0,0,0
Dabob,384,N,0,0,0
Dabob,385,N,0,0,0
Dabob,386,N,0,0,0
Dabob,387,N,0,0,0
Dabob,388,N,0,0,0
Dabob,389,N,0,0,0
Dabob,390,N,0,0,0
Dabob,391,N,0,0,0
Dabob,392,N,0,0,0
Dabob,393,N,0,0,0
Dabob,394,N,0,0,0
Dabob,395,N,0,0,0
Dabob,396,N,0,0,0
Dabob,397,N,0,0,0
Dabob,398,N,0,0,0
Dabob,399,N,0,0,0
Dabob,400,N,0,0,0
Dabob,401,N,0,0,0
Dabob,402,N,0,0,0
Dabob,403,N,0,0,0
Dabob,404,N,0,0,0
Dabob,405,N,0,0,0
Dabob,406,N,0,0,0
Dabob,407,N,0,0,0
Dabob,408,N,0,0,0
Dabob,409,N,0,0,0
Dabob,410,N,0,0,0
Dabob,411,N,0,0,0
Dabob,412,N,0,0,0
Dabob,413,N,0,0,0
Dabob,414,N,0,0,0
Dabob,415,N,0,0,0
Dabob,416,N,0,0,0
Dabob,417,N,0,0,0
Dabob,418,N,0,0,0
Dabob,419,N,0,0,0
Dabob,420,N,0,0,0
Dabob,421,N,0,0,0
Dabob,422,N,0,0,0
Dabob,423,N,0,0,0
Dabob,424,N,0,0,0
Dabob,425,N,0,0,0
Dabob,426,N,0,0,0
Dabob,427,N,0,0,0
Dabob,428,N,0,0,0
Dabob,429,N,0,0,0
Dabob,430,N,0,0,0
Dabob,431,N,0,0,0
Dabob,432,N,0,0,0
Dabob,433,N,0,0,0
Dabob,434,N,0,0,0
Dabob,435,N,0,0,0
Dabob,436,N,0,0,0
Dabob,437,N,0,0,0
Dabob,438,N,0,0,0
Dabob,439,N,0,0,0
Dabob,440,N,0,0,0
Dabob,441,N,0,0,0
Dabob,442,N,0,0,0
Dabob,443,N,0,0,0
Dabob,444,N,0,0,0
Dabob,445,N,0,0,0
Dabob,446,N,0,0,0
Dabob,447,N,0,0,0
Dabob,448,N,0,0,0
Dabob,449,N,0,0,0
Dabob,450,N,0,0,0
Dabob,451,N,0,0,0
Dabob,452,N,0,0,0
Dabob,453,N,0,0,0
Dabob,454,N,0,0,0
Dabob,455,N,0,0,0
Dabob,456,N,0,0,0
Dabob,457,N,0,0,0
Dabob,458,N,0,0,0
Dabob,459,N,0,0,0
Dabob,460,N,0,0,0
Dabob,461,N,0,0,0
Dabob,462,N,0,0,0
Dabob,463,N,0,0,0
Dabob,464,N,0,0,0
Dabob,465,N,0,0,0
Dabob,466,N,0,0,0
Dabob,467,N,0,0,0
Dabob,468,N,0,0,0
Dabob,469,N,0,0,0
Dabob,470,N,0,0,0
Dabob,471,N,0,0,0
Dabob,472,N,0,0,0
Dabob,473,N,0,0,0
Dabob,474,N,0,0,0
Dabob,475,N,0,0,0
Dabob,476,N,0,0,0
Dabob,477,N,0,0,0
Dabob,478,N,0,0,0
Dabob,479,N,0,0,0
Dabob,480,N,0,0,0
Dabob,1,H,0,0,0
Dabob,2,H,0,0,0
Dabob,3,H,0,0,0
Dabob,4,H,0,0,0
Dabob,5,H,0,0,0
Dabob,6,H,0,0,0
Dabob,7,H,0,0,0
Dabob,8,H,0,0,0
Dabob,9,H,0,0,0
Dabob,10,H,0,0,0
Dabob,11,H,0,0,0
Dabob,12,H,0,0,0
Dabob,13,H,0,0,0
Dabob,14,H,0,0,0
Dabob,15,H,0,0,0
Dabob,16,H,0,0,0
Dabob,17,H,0,0,0
Dabob,18,H,0,0,0
Dabob,19,H,0,0,0
Dabob,20,H,0,0,0
Dabob,21,H,0,0,0
Dabob,22,H,0,0,0
Dabob,23,H,0,0,0
Dabob,24,H,0,0,0
Dabob,25,H,0,0,0
Dabob,26,H,0,0,0
Dabob,27,H,0,0,0
Dabob,28,H,0,0,0
Dabob,29,H,0,0,0
Dabob,30,H,0,0,0
Dabob,31,H,0,0,0
Dabob,32,H,0,0,0
Dabob,33,H,0,0,0
Dabob,34,H,0,0,0
Dabob,35,H,0,0,0
Dabob,36,H,0,0,0
Dabob,37,H,0,0,0
Dabob,38,H,0,0,0
Dabob,39,H,0,0,0
Dabob,40,H,0,0,0
Dabob,41,H,0,0,0
Dabob,42,H,0,0,0
Dabob,43,H,0,0,0
Dabob,44,H,0,0,0
Dabob,45,H,0,0,0
Dabob,46,H,0,0,0
Dabob,47,H,0,0,0
Dabob,48,H,0,0,0
Dabob,49,H,0,0,0
Dabob,50,H,0,0,0
Dabob,51,H,0,0,0
Dabob,52,H,0,0,0
Dabob,53,H,0,0,0
Dabob,54,H,0,0,0
Dabob,55,H,0,0,0
Dabob,56,H,0,0,0
Dabob,57,H,0,0,0
Dabob,58,H,0,0,0
Dabob,59,H,0,0,0
Dabob,60,H,0,0,0
Dabob,61,H,0,0,0
Dabob,62,H,0,0,0
Dabob,63,H,0,0,0
Dabob,64,H,0,0,0
Dabob,65,H,0,0,0
Dabob,66,H,0,0,0
Dabob,67,H,0,0,0
Dabob,68,H,0,0,0
Dabob,69,H,0,0,0
Dabob,70,H,0,0,0
Dabob,71,H,0,0,0
Dabob,72,H,0,0,0
Dabob,73,H,0,0,0
Dabob,74,H,0,0,0
Dabob,75,H,0,0,0
Dabob,76,H,0,0,0
Dabob,77,H,0,0,0
Dabob,78,H,0,0,0
Dabob,79,H,0,0,0
Dabob,80,H,0,0,0
Dabob,81,H,0,0,0
Dabob,82,H,0,0,0
Dabob,83,H,0,0,0
Dabob,84,H,0,0,0
Dabob,85,H,0,0,0
Dabob,86,H,0,0,0
Dabob,87,H,0,0,0
Dabob,88,H,0,0,0
Dabob,89,H,0,0,0
Dabob,90,H,0,0,0
Dabob,91,H,0,0,0
Dabob,92,H,0,0,0
Dabob,93,H,0,0,0
Dabob,94,H,0,0,0
Dabob,95,H,0,0,0
Dabob,96,H,0,0,0
Dabob,97,H,0,0,0
Dabob,98,H,0,0,0
Dabob,99,H,0,0,0
Dabob,100,H,0,0,0
Dabob,101,H,0,0,0
Dabob,102,H,0,0,0
Dabob,103,H,0,0,0
Dabob,104,H,0,0,0
Dabob,105,H,0,0,0
Dabob,106,H,0,0,0
Dabob,107,H,0,0,0
Dabob,108,H,0,0,0
Dabob,109,H,0,0,0
Dabob,110,H,0,0,0
Dabob,111,H,0,0,0
Dabob,112,H,0,0,0
Dabob,113,H,0,0,0
Dabob,114,H,0,0,0
Dabob,115,H,0,0,0
Dabob,116,H,0,0,0
Dabob,117,H,0,0,0
Dabob,118,H,0,0,0
Dabob,119,H,0,0,0
Dabob,120,H,0,0,0
Dabob,121,H,0,0,0
Dabob,122,H,0,0,0
Dabob,123,H,0,0,0
Dabob,124,H,0,0,0
Dabob,125,H,0,0,0
Dabob,126,H,0,0,0
Dabob,127,H,0,0,0
Dabob,128,H,0,0,0
Dabob,129,H,0,0,0
Dabob,130,H,0,0,0
Dabob,131,H,0,0,0
Dabob,132,H,0,0,0
Dabob,133,H,0,0,0
Dabob,134,H,0,0,0
Dabob,135,H,0,0,0
Dabob,136,H,0,0,0
Dabob,137,H,0,0,0
Dabob,138,H,0,0,0
Dabob,139,H,0,0,0
Dabob,140,H,0,0,0
Dabob,141,H,0,0,0
Dabob,142,H,0,0,0
Dabob,143,H,0,0,0
Dabob,144,H,0,0,0
Dabob,145,H,0,0,0
Dabob,146,H,0,0,0
Dabob,147,H,0,0,0
Dabob,148,H,0,0,0
Dabob,149,H,0,0,0
Dabob,150,H,0,0,0
Dabob,151,H,0,0,0
Dabob,152,H,0,0,0
Dabob,153,H,0,0,0
Dabob,154,H,0,0,0
Dabob,155,H,0,0,0
Dabob,156,H,0,0,0
Dabob,157,H,0,0,0
Dabob,158,H,0,0,0
Dabob,159,H,0,0,0
Dabob,160,H,0,0,0
Dabob,161,H,0,0,0
Dabob,162,H,0,0,0
Dabob,163,H,0,0,0
Dabob,164,H,0,0,0
Dabob,165,H,0,0,0
Dabob,166,H,0,0,0
Dabob,167,H,0,0,0
Dabob,168,H,0,0,0
Dabob,169,H,0,0,0
Dabob,170,H,0,0,0
Dabob,171,H,0,0,0
Dabob,172,H,0,0,0
Dabob,173,H,0,0,0
Dabob,174,H,0,0,0
Dabob,175,H,0,0,0
Dabob,176,H,0,0,0
Dabob,177,H,0,0,0
Dabob,178,H,0,0,0
Dabob,179,H,0,0,0
Dabob,180,H,0,0,0
Dabob,181,H,0,0,0
Dabob,182,H,0,0,0
Dabob,183,H,0,0,0
Dabob,184,H,0,0,0
Dabob,185,H,0,0,0
Dabob,186,H,0,0,0
Dabob,187,H,0,0,0
Dabob,188,H,0,0,0
Dabob,189,H,0,0,0
Dabob,190,H,0,0,0
Dabob,191,H,0,0,0
Dabob,192,H,0,0,0
Dabob,193,H,0,0,0
Dabob,194,H,0,0,0
Dabob,195,H,0,0,0
Dabob,196,H,0,0,0
Dabob,197,H,0,0,0
Dabob,198,H,0,0,0
Dabob,199,H,0,0,0
Dabob,200,H,0,0,0
Dabob,201,H,0,0,0
Dabob,202,H,0,0,0
Dabob,203,H,0,0,0
Dabob,204,H,0,0,0
Dabob,205,H,0,0,0
Dabob,206,H,0,0,0
Dabob,207,H,0,0,0
Dabob,208,H,0,0,0
Dabob,209,H,0,0,0
Dabob,210,H,0,0,0
Dabob,211,H,0,0,0
Dabob,212,H,0,0,0
Dabob,213,H,0,0,0
Dabob,214,H,0,0,0
Dabob,215,H,0,0,0
Dabob,216,H,0,0,0
Dabob,217,H,0,0,0
Dabob,218,H,0,0,0
Dabob,219,H,0,0,0
Dabob,220,H,0,0,0
Dabob,221,H,0,0,0
Dabob,222,H,0,0,0
Dabob,223,H,0,0,0
Dabob,224,H,0,0,0
Dabob,225,H,0,0,0
Dabob,226,H,0,0,0
Dabob,227,H,0,0,0
Dabob,228,H,0,0,0
Dabob,229,H,0,0,0
Dabob,230,H,0,0,0
Dabob,231,H,0,0,0
Dabob,232,H,0,0,0
Dabob,233,H,0,0,0
Dabob,234,H,0,0,0
Dabob,235,H,0,0,0
Dabob,236,H,0,0,0
Dabob,237,H,0,0,0
Dabob,238,H,0,0,0
Dabob,239,H,0,0,0
Dabob,240,H,0,0,0
Dabob,241,H,0,0,0
Dabob,242,H,0,0,0
Dabob,243,H,0,0,0
Dabob,244,H,0,0,0
Dabob,245,H,0,0,0
Dabob,246,H,0,0,0
Dabob,247,H,0,0,0
Dabob,248,H,0,0,0
Dabob,249,H,0,0,0
Dabob,250,H,0,0,0
Dabob,251,H,0,0,0
Dabob,252,H,0,0,0
Dabob,253,H,0,0,0
Dabob,254,H,0,0,0
Dabob,255,H,0,0,0
Dabob,256,H,0,0,0
Dabob,257,H,0,0,0
Dabob,258,H,0,0,0
Dabob,259,H,0,0,0
Dabob,260,H,0,0,0
Dabob,261,H,0,0,0
Dabob,262,H,0,0,0
Dabob,263,H,0,0,0
Dabob,264,H,0,0,0
Dabob,265,H,0,0,0
Dabob,266,H,0,0,0
Dabob,267,H,0,0,0
Dabob,268,H,0,0,0
Dabob,269,H,0,0,0
Dabob,270,H,0,0,0
Dabob,271,H,0,0,0
Dabob,272,H,0,0,0
Dabob,273,H,0,0,0
Dabob,274,H,0,0,0
Dabob,275,H,0,0,0
Dabob,276,H,0,0,0
Dabob,277,H,0,0,0
Dabob,278,H,0,0,0
Dabob,279,H,0,0,0
Dabob,280,H,0,0,0
Dabob,281,H,0,0,0
Dabob,282,H,0,0,0
Dabob,283,H,0,0,0
Dabob,284,H,0,0,0
Dabob,285,H,0,0,0
Dabob,286,H,0,0,0
Dabob,287,H,0,0,0
Dabob,288,H,0,0,0
Dabob,289,H,0,0,0
Dabob,290,H,0,0,0
Dabob,291,H,0,0,0
Dabob,292,H,0,0,0
Dabob,293,H,0,0,0
Dabob,294,H,0,0,0
Dabob,295,H,0,0,0
Dabob,296,H,0,0,0
Dabob,297,H,0,0,0
Dabob,298,H,0,0,0
Dabob,299,H,0,0,0
Dabob,300,H,0,0,0
Dabob,301,H,0,0,0
Dabob,302,H,0,0,0
Dabob,303,H,0,0,0
Dabob,304,H,0,0,0
Dabob,305,H,0,0,0
Dabob,306,H,0,0,0
Dabob,307,H,0,0,0
Dabob,308,H,0,0,0
Dabob,309,H,0,0,0
Dabob,310,H,0,0,0
Dabob,311,H,0,0,0
Dabob,312,H,0,0,0
Dabob,313,H,0,0,0
Dabob,314,H,0,0,0
Dabob,315,H,0,0,0
Dabob,316,H,0,0,0
Dabob,317,H,0,0,0
Dabob,318,H,0,0,0
Dabob,319,H,0,0,0
Dabob,320,H,0,0,0
Dabob,321,H,0,0,0
Dabob,322,H,0,0,0
Dabob,323,H,0,0,0
Dabob,324,H,0,0,0
Dabob,325,H,0,0,0
Dabob,326,H,0,0,0
Dabob,327,H,0,0,0
Dabob,328,H,0,0,0
Dabob,329,H,0,0,0
Dabob,330,H,0,0,0
Dabob,331,H,0,0,0
Dabob,332,H,0,0,0
Dabob,333,H,0,0,0
Dabob,334,H,0,0,0
Dabob,335,H,0,0,0
Dabob,336,H,0,0,0
Dabob,337,H,0,0,0
Dabob,338,H,0,0,0
Dabob,339,H,0,0,0
Dabob,340,H,0,0,0
Dabob,341,H,0,0,0
Dabob,342,H,0,0,0
Dabob,343,H,0,0,0
Dabob,344,H,0,0,0
Dabob,345,H,0,0,0
Dabob,346,H,0,0,0
Dabob,347,H,0,0,0
Dabob,348,H,0,0,0
Dabob,349,H,0,0,0
Dabob,350,H,0,0,0
Dabob,351,H,0,0,0
Dabob,352,H,0,0,0
Dabob,353,H,0,0,0
Dabob,354,H,0,0,0
Dabob,355,H,0,0,0
Dabob,356,H,0,0,0
Dabob,357,H,0,0,0
Dabob,358,H,0,0,0
Dabob,359,H,0,0,0
Dabob,360,H,0,0,0
Dabob,361,H,0,0,0
Dabob,362,H,0,0,0
Dabob,363,H,0,0,0
Dabob,364,H,0,0,0
Dabob,365,H,0,0,0
Dabob,366,H,0,0,0
Dabob,367,H,0,0,0
Dabob,368,H,0,0,0
Dabob,369,H,0,0,0
Dabob,370,H,0,0,0
Dabob,371,H,0,0,0
Dabob,372,H,0,0,0
Dabob,373,H,0,0,0
Dabob,374,H,0,0,0
Dabob,375,H,0,0,0
Dabob,376,H,0,0,0
Dabob,377,H,0,0,0
Dabob,378,H,0,0,0
Dabob,379,H,0,0,0
Dabob,380,H,0,0,0
Dabob,381,H,0,0,0
Dabob,382,H,0,0,0
Dabob,383,H,0,0,0
Dabob,384,H,0,0,0
Dabob,385,H,0,0,0
Dabob,386,H,0,0,0
Dabob,387,H,0,0,0
Dabob,388,H,0,0,0
Dabob,389,H,0,0,0
Dabob,390,H,0,0,0
Dabob,391,H,0,0,0
Dabob,392,H,0,0,0
Dabob,393,H,0,0,0
Dabob,394,H,0,0,0
Dabob,395,H,0,0,0
Dabob,396,H,0,0,0
Dabob,397,H,0,0,0
Dabob,398,H,0,0,0
Dabob,399,H,0,0,0
Dabob,400,H,0,0,0
Dabob,401,H,0,0,0
Dabob,402,H,0,0,0
Dabob,403,H,0,0,0
Dabob,404,H,0,0,0
Dabob,405,H,0,0,0
Dabob,406,H,0,0,0
Dabob,407,H,0,0,0
Dabob,408,H,0,0,0
Dabob,409,H,0,0,0
Dabob,410,H,0,0,0
Dabob,411,H,0,0,0
Dabob,412,H,0,0,0
Dabob,413,H,0,0,0
Dabob,414,H,0,0,0
Dabob,415,H,0,0,0
Dabob,416,H,0,0,0
Dabob,417,H,0,0,0
Dabob,418,H,0,0,0
Dabob,419,H,0,0,0
Dabob,420,H,0,0,0
Dabob,421,H,0,0,0
Dabob,422,H,0,0,0
Dabob,423,H,0,0,0
Dabob,424,H,0,0,0
Dabob,425,H,0,0,0
Dabob,426,H,0,0,0
Dabob,427,H,0,0,0
Dabob,428,H,0,0,0
Dabob,429,H,0,0,0
Dabob,430,H,0,0,0
Dabob,431,H,0,0,0
Dabob,432,H,0,0,0
Dabob,433,H,0,0,0
Dabob,434,H,0,0,0
Dabob,435,H,0,0,0
Dabob,436,H,0,0,0
Dabob,437,H,0,0,0
Dabob,438,H,0,0,0
Dabob,439,H,0,0,0
Dabob,440,H,0,0,0
Dabob,441,H,0,0,0
Dabob,442,H,0,0,0
Dabob,443,H,0,0,0
Dabob,444,H,0,0,0
Dabob,445,H,0,0,0
Dabob,446,H,0,0,0
Dabob,447,H,0,0,0
Dabob,448,H,0,0,0
Dabob,449,H,0,0,0
Dabob,450,H,0,0,0
